OrderID,CustomerID,EmployeeID,OrderDate,ShipperID
10400,19,1,1997-01-01,3
10401,65,1,1997-01-01,1
10402,20,8,1997-01-02,2
10403,20,4,1997-01-03,3
10404,49,2,1997-01-03,1
10405,47,1,1997-01-06,1
10406,62,7,1997-01-07,1
10407,56,2,1997-01-07,2
10408,23,8,1997-01-08,1
10409,54,3,1997-01-09,1
10410,10,3,1997-01-10,3
10411,10,9,1997-01-10,3
10412,87,8,1997-01-13,2
10413,41,3,1997-01-14,2
10414,21,2,1997-01-14,3
10415,36,3,1997-01-15,1
10416,87,8,1997-01-16,3
10417,73,4,1997-01-16,3
10418,63,4,1997-01-17,1
10419,68,4,1997-01-20,2
10420,88,3,1997-01-21,1
10421,61,8,1997-01-21,1
10422,27,2,1997-01-22,1
10423,31,6,1997-01-23,3
10424,51,7,1997-01-23,2
10425,41,6,1997-01-24,2
10426,29,4,1997-01-27,1
10427,59,4,1997-01-27,2
10428,66,7,1997-01-28,1
10429,37,3,1997-01-29,2
10430,20,4,1997-01-30,1
10431,10,4,1997-01-30,2
10432,75,3,1997-01-31,2
