OrderID,CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country
10308,2,"Ana Trujillo Emparedados y helados","Ana Trujillo","Avda. de la Constitución 2222","México D.F.",05021,Mexico
10365,3,"Antonio Moreno Taquería","Antonio Moreno","Mataderos 2312","México D.F.",05023,Mexico
10355,4,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK
10383,4,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK
10278,5,"Berglunds snabbköp","Christina Berglund","Berguvsvägen 8",Luleå,"S-958 22",Sweden
10280,5,"Berglunds snabbköp","Christina Berglund","Berguvsvägen 8",Luleå,"S-958 22",Sweden
10384,5,"Berglunds snabbköp","Christina Berglund","Berguvsvägen 8",Luleå,"S-958 22",Sweden
10265,7,"Blondel père et fils","Frédérique Citeaux","24, place Kléber",Strasbourg,67000,France
10297,7,"Blondel père et fils","Frédérique Citeaux","24, place Kléber",Strasbourg,67000,France
10360,7,"Blondel père et fils","Frédérique Citeaux","24, place Kléber",Strasbourg,67000,France
10436,7,"Blondel père et fils","Frédérique Citeaux","24, place Kléber",Strasbourg,67000,France
10326,8,"Bólido Comidas preparadas","Martín Sommer","C/ Araquil, 67",Madrid,28023,Spain
10331,9,"Bon app'","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France
10340,9,"Bon app'","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France
10362,9,"Bon app'","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France
10389,10,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4",Canada
10410,10,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4",Canada
10411,10,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4",Canada
10431,10,"Bottom-Dollar Marketse","Elizabeth Lincoln","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4",Canada
10289,11,"B's Beverages","Victoria Ashworth","Fauntleroy Circus",London,"EC2 5NT",UK
10259,13,"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","México D.F.",05022,Mexico
10254,14,"Chop-suey Chinese","Yang Wang","Hauptstr. 29",Bern,3012,Switzerland
10370,14,"Chop-suey Chinese","Yang Wang","Hauptstr. 29",Bern,3012,Switzerland
10290,15,"Comércio Mineiro","Pedro Afonso","Av. dos Lusíadas, 23","São Paulo",05432-043,Brazil
10435,16,"Consolidated Holdings","Elizabeth Brown","Berkeley Gardens 12 Brewery",London,"WX1 6LT",UK
10363,17,"Drachenblut Delikatessend","Sven Ottlieb","Walserweg 21",Aachen,52066,Germany
10391,17,"Drachenblut Delikatessend","Sven Ottlieb","Walserweg 21",Aachen,52066,Germany
10311,18,"Du monde entier","Janine Labrune","67, rue des Cinquante Otages",Nantes,44000,France
10364,19,"Eastern Connection","Ann Devon","35 King George",London,"WX3 6FW",UK
10400,19,"Eastern Connection","Ann Devon","35 King George",London,"WX3 6FW",UK
10258,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10263,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10351,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10368,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10382,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10390,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10402,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10403,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10430,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10442,20,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria
10347,21,"Familia Arquibaldo","Aria Cruz","Rua Orós, 92","São Paulo",05442-030,Brazil
10386,21,"Familia Arquibaldo","Aria Cruz","Rua Orós, 92","São Paulo",05442-030,Brazil
10414,21,"Familia Arquibaldo","Aria Cruz","Rua Orós, 92","São Paulo",05442-030,Brazil
10408,23,"Folies gourmandes","Martine Rancé","184, chaussée de Tournai",Lille,59000,France
10264,24,"Folk och fä HB","Maria Larsson","Åkergatan 24",Bräcke,"S-844 67",Sweden
10327,24,"Folk och fä HB","Maria Larsson","Åkergatan 24",Bräcke,"S-844 67",Sweden
10378,24,"Folk och fä HB","Maria Larsson","Åkergatan 24",Bräcke,"S-844 67",Sweden
10434,24,"Folk och fä HB","Maria Larsson","Åkergatan 24",Bräcke,"S-844 67",Sweden
10267,25,Frankenversand,"Peter Franken","Berliner Platz 43",München,80805,Germany
10337,25,Frankenversand,"Peter Franken","Berliner Platz 43",München,80805,Germany
10342,25,Frankenversand,"Peter Franken","Berliner Platz 43",München,80805,Germany
10396,25,Frankenversand,"Peter Franken","Berliner Platz 43",München,80805,Germany
10422,27,"Franchi S.p.A.","Paolo Accorti","Via Monte Bianco 34",Torino,10100,Italy
10328,28,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Jardim das rosas n. 32",Lisboa,1675,Portugal
10352,28,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Jardim das rosas n. 32",Lisboa,1675,Portugal
10366,29,"Galería del gastrónomo","Eduardo Saavedra","Rambla de Cataluña, 23",Barcelona,08022,Spain
10426,29,"Galería del gastrónomo","Eduardo Saavedra","Rambla de Cataluña, 23",Barcelona,08022,Spain
10303,30,"Godos Cocina Típica","José Pedro Freyre","C/ Romero, 33",Sevilla,41101,Spain
10423,31,"Gourmet Lanchonetes","André Fonseca","Av. Brasil, 442",Campinas,04876-786,Brazil
10268,33,GROSELLA-Restaurante,"Manuel Pereira","5ª Ave. Los Palos Grandes",Caracas,1081,Venezuela
10250,34,"Hanari Carnes","Mario Pontes","Rua do Paço, 67","Rio de Janeiro",05454-876,Brazil
10253,34,"Hanari Carnes","Mario Pontes","Rua do Paço, 67","Rio de Janeiro",05454-876,Brazil
10257,35,HILARIÓN-Abastos,"Carlos Hernández","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal",5022,Venezuela
10395,35,HILARIÓN-Abastos,"Carlos Hernández","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal",5022,Venezuela
10375,36,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.",Elgin,97827,USA
