CustomerID,CustomerName,OrderID,EmployeeID,OrderDate,ShipperID
90,"Wilman Kala",10248,5,1996-07-04,3
81,"Tradição Hipermercados",10249,6,1996-07-05,1
34,"Hanari Carnes",10250,4,1996-07-08,2
84,"Victuailles en stock",10251,3,1996-07-08,1
76,"Suprêmes délices",10252,4,1996-07-09,2
34,"Hanari Carnes",10253,3,1996-07-10,2
14,"Chop-suey Chinese",10254,5,1996-07-11,2
68,"Richter Supermarkt",10255,9,1996-07-12,3
88,"Wellington Importadora",10256,3,1996-07-15,2
35,HILARIÓN-Abastos,10257,4,1996-07-16,3
20,"Ernst Handel",10258,1,1996-07-17,1
13,"Centro comercial Moctezuma",10259,4,1996-07-18,3
55,"Old World Delicatessen",10260,4,1996-07-19,1
61,"Que Delícia",10261,4,1996-07-19,2
65,"Rattlesnake Canyon Grocery",10262,8,1996-07-22,3
20,"Ernst Handel",10263,9,1996-07-23,3
24,"Folk och fä HB",10264,6,1996-07-24,3
7,"Blondel père et fils",10265,2,1996-07-25,1
87,"Wartian Herkku",10266,3,1996-07-26,3
25,Frankenversand,10267,4,1996-07-29,1
33,GROSELLA-Restaurante,10268,8,1996-07-30,3
89,"White Clover Markets",10269,5,1996-07-31,1
87,"Wartian Herkku",10270,1,1996-08-01,1
75,"Split Rail Beer & Ale",10271,6,1996-08-01,2
65,"Rattlesnake Canyon Grocery",10272,6,1996-08-02,2
63,QUICK-Stop,10273,3,1996-08-05,3
85,"Vins et alcools Chevalier",10274,6,1996-08-06,1
49,"Magazzini Alimentari Riuniti",10275,1,1996-08-07,1
80,"Tortuga Restaurante",10276,8,1996-08-08,3
52,"Morgenstern Gesundkost",10277,2,1996-08-09,3
5,"Berglunds snabbköp",10278,8,1996-08-12,2
44,"Lehmanns Marktstand",10279,8,1996-08-13,2
5,"Berglunds snabbköp",10280,2,1996-08-14,1
69,"Romero y tomillo",10281,4,1996-08-14,1
69,"Romero y tomillo",10282,4,1996-08-15,1
46,LILA-Supermercado,10283,3,1996-08-16,3
44,"Lehmanns Marktstand",10284,4,1996-08-19,1
63,QUICK-Stop,10285,1,1996-08-20,2
63,QUICK-Stop,10286,8,1996-08-21,3
67,"Ricardo Adocicados",10287,8,1996-08-22,3
66,"Reggiani Caseifici",10288,4,1996-08-23,1
11,"B's Beverages",10289,7,1996-08-26,3
15,"Comércio Mineiro",10290,8,1996-08-27,1
61,"Que Delícia",10291,6,1996-08-27,2
81,"Tradição Hipermercados",10292,1,1996-08-28,2
80,"Tortuga Restaurante",10293,1,1996-08-29,3
65,"Rattlesnake Canyon Grocery",10294,4,1996-08-30,2
85,"Vins et alcools Chevalier",10295,2,1996-09-02,2
46,LILA-Supermercado,10296,6,1996-09-03,1
7,"Blondel père et fils",10297,5,1996-09-04,2
37,"Hungry Owl All-Night Grocers",10298,6,1996-09-05,2
67,"Ricardo Adocicados",10299,4,1996-09-06,2
49,"Magazzini Alimentari Riuniti",10300,2,1996-09-09,2
86,"Die Wandernde Kuh",10301,8,1996-09-09,2
76,"Suprêmes délices",10302,4,1996-09-10,2
30,"Godos Cocina Típica",10303,7,1996-09-11,2
80,"Tortuga Restaurante",10304,1,1996-09-12,2
55,"Old World Delicatessen",10305,8,1996-09-13,3
69,"Romero y tomillo",10306,1,1996-09-16,3
48,"Lonesome Pine Restaurant",10307,2,1996-09-17,2
2,"Ana Trujillo Emparedados y helados",10308,7,1996-09-18,3
37,"Hungry Owl All-Night Grocers",10309,3,1996-09-19,1
77,"The Big Cheese",10310,8,1996-09-20,2
18,"Du monde entier",10311,1,1996-09-20,3
86,"Die Wandernde Kuh",10312,2,1996-09-23,2
63,QUICK-Stop,10313,2,1996-09-24,2
65,"Rattlesnake Canyon Grocery",10314,1,1996-09-25,2
38,"Island Trading",10315,4,1996-09-26,2
65,"Rattlesnake Canyon Grocery",10316,1,1996-09-27,3
48,"Lonesome Pine Restaurant",10317,6,1996-09-30,1
38,"Island Trading",10318,8,1996-10-01,2
80,"Tortuga Restaurante",10319,7,1996-10-02,3
87,"Wartian Herkku",10320,5,1996-10-03,3
38,"Island Trading",10321,3,1996-10-03,2
58,"Pericles Comidas clásicas",10322,7,1996-10-04,3
39,"Königlich Essen",10323,4,1996-10-07,1
71,"Save-a-lot Markets",10324,9,1996-10-08,1
39,"Königlich Essen",10325,1,1996-10-09,3
8,"Bólido Comidas preparadas",10326,4,1996-10-10,2
24,"Folk och fä HB",10327,2,1996-10-11,1
28,"Furia Bacalhau e Frutos do Mar",10328,4,1996-10-14,3
75,"Split Rail Beer & Ale",10329,4,1996-10-15,2
46,LILA-Supermercado,10330,3,1996-10-16,1
9,"Bon app'",10331,9,1996-10-16,1
51,"Mère Paillarde",10332,3,1996-10-17,2
87,"Wartian Herkku",10333,5,1996-10-18,3
84,"Victuailles en stock",10334,8,1996-10-21,2
37,"Hungry Owl All-Night Grocers",10335,7,1996-10-22,2
60,"Princesa Isabel Vinhoss",10336,7,1996-10-23,2
25,Frankenversand,10337,4,1996-10-24,3
55,"Old World Delicatessen",10338,4,1996-10-25,3
51,"Mère Paillarde",10339,2,1996-10-28,2
9,"Bon app'",10340,1,1996-10-29,3
73,"Simons bistro",10341,7,1996-10-29,3
25,Frankenversand,10342,4,1996-10-30,2
44,"Lehmanns Marktstand",10343,4,1996-10-31,1
89,"White Clover Markets",10344,4,1996-11-01,2
63,QUICK-Stop,10345,2,1996-11-04,2
65,"Rattlesnake Canyon Grocery",10346,3,1996-11-05,3
21,"Familia Arquibaldo",10347,4,1996-11-06,3
86,"Die Wandernde Kuh",10348,4,1996-11-07,2
75,"Split Rail Beer & Ale",10349,7,1996-11-08,1
41,"La maison d'Asie",10350,6,1996-11-11,2
20,"Ernst Handel",10351,1,1996-11-11,1
28,"Furia Bacalhau e Frutos do Mar",10352,3,1996-11-12,3
59,"Piccolo und mehr",10353,7,1996-11-13,3
58,"Pericles Comidas clásicas",10354,8,1996-11-14,3
4,"Around the Horn",10355,6,1996-11-15,1
86,"Die Wandernde Kuh",10356,6,1996-11-18,2
46,LILA-Supermercado,10357,1,1996-11-19,3
41,"La maison d'Asie",10358,5,1996-11-20,1
72,"Seven Seas Imports",10359,5,1996-11-21,3
7,"Blondel père et fils",10360,4,1996-11-22,3
63,QUICK-Stop,10361,1,1996-11-22,2
9,"Bon app'",10362,3,1996-11-25,1
17,"Drachenblut Delikatessend",10363,4,1996-11-26,3
19,"Eastern Connection",10364,1,1996-11-26,1
3,"Antonio Moreno Taquería",10365,3,1996-11-27,2
29,"Galería del gastrónomo",10366,8,1996-11-28,2
83,Vaffeljernet,10367,7,1996-11-28,3
20,"Ernst Handel",10368,2,1996-11-29,2
75,"Split Rail Beer & Ale",10369,8,1996-12-02,2
14,"Chop-suey Chinese",10370,6,1996-12-03,2
41,"La maison d'Asie",10371,1,1996-12-03,1
62,"Queen Cozinha",10372,5,1996-12-04,2
37,"Hungry Owl All-Night Grocers",10373,4,1996-12-05,3
91,Wolski,10374,1,1996-12-05,3
36,"Hungry Coyote Import Store",10375,3,1996-12-06,2
51,"Mère Paillarde",10376,1,1996-12-09,2
72,"Seven Seas Imports",10377,1,1996-12-09,3
24,"Folk och fä HB",10378,5,1996-12-10,3
61,"Que Delícia",10379,2,1996-12-11,1
37,"Hungry Owl All-Night Grocers",10380,8,1996-12-12,3
46,LILA-Supermercado,10381,3,1996-12-12,3
20,"Ernst Handel",10382,4,1996-12-13,1
4,"Around the Horn",10383,8,1996-12-16,3
5,"Berglunds snabbköp",10384,3,1996-12-16,3
75,"Split Rail Beer & Ale",10385,1,1996-12-17,2
21,"Familia Arquibaldo",10386,9,1996-12-18,3
70,"Santé Gourmet",10387,1,1996-12-18,2
72,"Seven Seas Imports",10388,2,1996-12-19,1
10,"Bottom-Dollar Marketse",10389,4,1996-12-20,2
20,"Ernst Handel",10390,6,1996-12-23,1
17,"Drachenblut Delikatessend",10391,3,1996-12-23,3
59,"Piccolo und mehr",10392,2,1996-12-24,3
71,"Save-a-lot Markets",10393,1,1996-12-25,3
36,"Hungry Coyote Import Store",10394,1,1996-12-25,3
35,HILARIÓN-Abastos,10395,6,1996-12-26,1
25,Frankenversand,10396,1,1996-12-27,3
60,"Princesa Isabel Vinhoss",10397,5,1996-12-27,1
71,"Save-a-lot Markets",10398,2,1996-12-30,3
83,Vaffeljernet,10399,8,1996-12-31,3
19,"Eastern Connection",10400,1,1997-01-01,3
65,"Rattlesnake Canyon Grocery",10401,1,1997-01-01,1
20,"Ernst Handel",10402,8,1997-01-02,2
20,"Ernst Handel",10403,4,1997-01-03,3
49,"Magazzini Alimentari Riuniti",10404,2,1997-01-03,1
47,LINO-Delicateses,10405,1,1997-01-06,1
