CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country
32,"Great Lakes Food Market","Howard Snyder","2732 Baker Blvd.",Eugene,97403,USA
36,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.",Elgin,97827,USA
43,"Lazy K Kountry Store","John Steel","12 Orchestra Terrace","Walla Walla",99362,USA
45,"Let's Stop N Shop","Jaime Yorres","87 Polk St. Suite 5","San Francisco",94117,USA
48,"Lonesome Pine Restaurant","Fran Wilson","89 Chiaroscuro Rd.",Portland,97219,USA
55,"Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA
65,"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA
71,"Save-a-lot Markets","Jose Pavarotti","187 Suffolk Ln.",Boise,83720,USA
75,"Split Rail Beer & Ale","Art Braunschweiger","P.O. Box 555",Lander,82520,USA
77,"The Big Cheese","Liz Nixon","89 Jefferson Way Suite 2",Portland,97201,USA
78,"The Cracker Box","Liu Wong","55 Grizzly Peak Rd.",Butte,59801,USA
82,"Trail's Head Gourmet Provisioners","Helvetius Nagy","722 DaVinci Blvd.",Kirkland,98034,USA
89,"White Clover Markets","Karl Jablonski","305 - 14th Ave. S. Suite 3B",Seattle,98128,USA
